New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number,latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error,P_term_pos_x,I_term_pos_x,D_term_pos_x,desired_velocity_x,error_pos_x,error_pos_y,error_pos_z
42.200134000,0.718207000,1.120850,43,93.861458,62037,-0.0006,-0.078,2.472,0.919,0.002,-0.006,0.010,-0.108,0.030,0.049,-0.109,0.001,-0.024,-0.077,2.473,1.020,1498,1499,1874,1506,0.223,0.124,8.941,1,79,0,0.001,0.000,-0.000,0.001,0.001,0.001,0.101
42.207928000,0.726001000,1.130859,43,103.605469,62038,-0.0022,-0.078,2.472,0.919,0.001,-0.008,0.004,-0.110,0.033,0.047,-0.126,0.067,-0.090,-0.077,2.473,1.020,1498,1500,1877,1506,0.224,0.125,9.068,1,79,0,0.001,0.000,-0.000,0.001,0.001,0.002,0.101
42.217998000,0.736071000,1.140869,43,128.402664,62039,0.0001,-0.078,2.472,0.919,-0.001,-0.009,0.005,-0.110,0.032,0.047,-0.096,0.027,-0.044,-0.077,2.473,1.020,1497,1500,1876,1506,0.225,0.127,9.194,1,79,0,0.001,0.000,0.000,0.001,0.001,0.002,0.101
42.227675000,0.745748000,1.150635,43,99.383820,62040,-0.0001,-0.078,2.471,0.919,-0.004,-0.011,0.007,-0.108,0.030,0.048,-0.028,-0.021,-0.029,-0.077,2.473,1.020,1497,1501,1876,1506,0.225,0.129,9.320,1,79,0,0.002,0.000,0.000,0.002,0.001,0.002,0.101
42.239242000,0.757315000,1.161133,43,103.401924,62041,0.0011,-0.078,2.471,0.919,-0.006,-0.010,0.008,-0.106,0.028,0.050,0.039,-0.070,0.032,-0.077,2.473,1.020,1497,1502,1875,1507,0.226,0.131,9.446,1,79,0,0.002,0.000,0.000,0.002,0.001,0.002,0.101
42.247596000,0.765669000,1.170898,43,86.512672,62042,-0.0014,-0.078,2.471,0.919,-0.008,-0.008,0.007,-0.102,0.025,0.053,0.134,-0.124,0.101,-0.077,2.473,1.020,1498,1502,1876,1507,0.227,0.133,9.572,1,79,0,0.002,0.000,0.000,0.002,0.001,0.002,0.101
42.257820000,0.775893000,1.180908,43,119.789169,62043,0.0002,-0.078,2.471,0.919,-0.009,-0.007,0.006,-0.098,0.022,0.056,0.205,-0.161,0.141,-0.077,2.473,1.020,1498,1502,1876,1508,0.229,0.135,9.698,1,79,0,0.002,0.000,0.000,0.002,0.001,0.002,0.101
42.270095000,0.788168000,1.189697,43,97.876091,62044,0.0035,-0.078,2.471,0.919,-0.010,-0.007,0.005,-0.095,0.021,0.057,0.223,-0.168,0.158,-0.077,2.473,1.020,1498,1503,1876,1508,0.230,0.137,9.824,1,79,0,0.003,0.000,0.000,0.003,0.001,0.002,0.101
42.281129000,0.799202000,1.200928,43,81.519524,62045,-0.0002,-0.078,2.471,0.919,-0.010,-0.007,0.005,-0.094,0.020,0.058,0.201,-0.143,0.141,-0.077,2.473,1.020,1498,1503,1876,1508,0.231,0.139,9.950,1,79,0,0.003,0.000,0.000,0.003,0.001,0.002,0.101
42.291653000,0.809726000,1.210693,43,90.686501,62046,0.0008,-0.079,2.471,0.919,-0.011,-0.007,0.004,-0.093,0.020,0.059,0.167,-0.110,0.124,-0.077,2.473,1.020,1498,1503,1877,1508,0.233,0.141,10.076,1,79,0,0.003,0.000,0.000,0.003,0.001,0.002,0.101
